Populus trichocarpa (species);300375467
walnut oil;300014310
corncribs;300005020
Mawri;300264580
chicken houses;300005003
eparchies;300387127
Citrus latifolia (species);300375408
pushups (lighting device components);300180565
chronicles;300026361
tooth burnishers;300262682
truck routes;300008290
centre-board planes;300023904
Mesua ferrea (species);300374964
black earth (pigment);300404203
livestock breeders;300136443
Kayseri;300193715
Amuzgoan (language);300387825
velvet (fabric weave);300133711
Hehe (culture or style);300016521
Bafo;300100363
fairy lamps;300180170
space colonies;300120707
local color;300056135
Arapaho (language);300387860
town and country planning;300054432
mat cutters;300023400
Cakchiquel (culture or style);300017830
royal bindings;300195178
ektārs;300265929
degame (wood);300133217
tallboys (chimney pots);300003965
Ariaal;300265304
spurs (landforms);300387002
microfossils;300379441
city blocks;300008077
kandilai;300264934
Kok Borok (language);300388615
karst areas;300387344
Elema;300107492
Wampanoag (language);300389543
beguinages;300000634
inert pigment;300013118
Moorish;300021016
mineral;300011068
frivolité;300264037
rifling;300226127
kerfs;300263614
measuring chains;300225086
gnomonic projection (technique);300263980
silicone rubber;300133708
transition zones;300000857
sanding blocks;300022533
ancient Italian pottery styles;300107355
festas de quinze anos;300248006
cuprous sulfide;300264251
Ainu (language);300387788
whiskey jugs;300045689
Choloepus (genus);300310446
bonbon dishes;300198445
pigment processes;300053498
potsherds;300249323
rheostats;300033475
covered wagons;300219549
Ngata;300263046
large pattern Holbeins;300185922
coopers' jointer planes;300161747
probate records;300027868
brattishing;300165940
electronic flashes;300181382
re-laying;300264842
cutouts;300257411
vegetable wax;300014607
age;300265766
emergency housing;300000304
solid ground curing;300265428
vihuelas;300201958
velocipedes;300212992
gauffers (tools for embossing);300238067
military campaigns;300379125
broken (form attributes);300010342
Bagirmi;300015902
linear accelerators;300120670
weigh-houses;300312276
fall (hairpiece);300221735
twining;300228538
base color;300257037
bodhráns;300215082
experts;300155533
Martin's cement;300010407
wolves;300250132
hair accessories;300225910
khalam;300042103
inflatable;300264559
molecular weight;300220067
Primitivist (Russian art movement);300174254
publishing;300054686
mortuary temples;300007613
thumbscrews (screws);300033493
Super 16mm;300264669
flashlights;300262610
hale pe'a;300257766
headbands (headgear);300046115
Caribou Inuit;300134115
brochs;300004863
hemp (fiber);300014043
Ginkgophyta (division);300265704
ada;300262972
microfadeometry;300389889
Barbacoan (language);300387946
bricolage (works);300400472
dish rings;300196506
mineralization;300225767
